이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
김호령,0.38,98,105,90,31,24,6,1,1,35,11,3,2,9,2,0,23,0,3,1,0.267,0.343,0.389,0.732,0.323,83.2,0.38,-0.46
이진영,0.12,18,8,5,3,2,0,0,0,2,0,0,1,1,2,0,1,0,0,0,0.4,0.625,0.4,1.025,0.512,209.4,0.12,-0.19
노관현,0.08,9,6,6,0,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0.5,0.5,0.5,1,0.464,175,0.08,-0.03
최정민,0.05,8,9,9,1,3,1,0,0,4,1,0,0,0,0,0,4,0,0,0,0.333,0.333,0.444,0.778,0.346,96.2,0.05,-0.14
김지성,0.05,37,49,47,6,11,3,0,2,20,4,1,0,1,1,0,14,1,0,0,0.234,0.265,0.426,0.691,0.299,66.5,0.05,-0.29
유재신,0.04,9,5,3,4,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.333,0.5,0.333,0.833,0.331,89,0.04,0.01
박진태,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
홍재호,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박지훈,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
손영민,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
임기준,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김세현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
심동섭,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최영필,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
홍건희,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김광수,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
임창용,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
한승혁,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김윤동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
임기영,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
