이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA
홍창기,0.02,23,25,23,3,5,2,0,0,7,0,2,0,1,1,0,12,1,0,0,0.217,0.28,0.304,0.584,0.278,63,-0.07
정주현,0.01,129,425,376,53,87,19,2,2,116,27,15,6,31,1,0,91,10,16,1,0.231,0.291,0.309,0.6,0.273,60.1,-0.98
양원혁,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
진해수,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
최동환,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
김대현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
여건욱,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
정우영,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
문광은,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
이상영,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
장원삼,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
신정락,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
고우석,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
신민재,-0.01,81,93,80,25,19,3,0,0,22,5,10,8,8,3,0,17,0,1,1,0.238,0.326,0.275,0.601,0.291,72.2,-0.18
류형우,-0.04,10,12,11,2,2,0,0,0,2,1,0,0,1,0,0,3,1,0,0,0.182,0.25,0.182,0.432,0.218,21,0.03
서상우,-0.04,13,24,21,2,5,1,0,0,6,1,0,0,3,0,0,8,1,0,0,0.238,0.333,0.286,0.619,0.303,79.6,-0.22
전준호,-0.1,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.3,-0.05
전준우,4.24,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,0.301,0.359,0.481,0.839,0.379,130.6,0.53
민병헌,3.53,101,420,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,0.304,0.38,0.453,0.832,0.382,133.4,0.1
손아섭,2.75,134,568,512,78,151,22,1,10,205,63,12,8,52,1,1,92,6,1,2,0.295,0.36,0.4,0.76,0.353,113.9,1.7
이대호,1.79,135,549,485,48,138,23,1,16,211,88,0,0,48,9,4,65,19,0,7,0.285,0.355,0.435,0.79,0.36,118.3,0.94
윌슨,1.35,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,0.251,0.351,0.433,0.784,0.361,118.4,0.73
아수아헤,0.94,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,0.252,0.356,0.368,0.724,0.334,102.2,0.63
강로한,0.74,104,306,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,0.24,0.279,0.375,0.654,0.298,77.1,-0.08
신본기,0.6,121,413,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,0.286,68.5,-1.68
채태인,0.25,59,182,167,11,42,11,0,5,68,29,0,0,11,2,1,45,5,0,2,0.252,0.302,0.407,0.709,0.321,91.5,-0.44
김동한,0.23,42,85,78,9,22,4,0,0,26,2,3,2,6,0,0,15,1,1,0,0.282,0.333,0.333,0.667,0.313,86.6,-0.29
허일,0.11,71,162,149,14,38,4,0,1,45,17,2,1,12,1,0,28,1,0,0,0.255,0.315,0.302,0.617,0.296,74.9,0.12
고승민,0.08,30,89,83,7,21,6,2,0,31,6,0,0,4,0,0,16,1,1,1,0.253,0.284,0.373,0.658,0.296,76.3,-0.33
이석훈,0.01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,-0.07
김민수,0,11,37,34,0,8,3,0,0,11,1,0,0,1,2,0,14,2,0,0,0.235,0.297,0.324,0.621,0.295,74.5,-0.28
박시영,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
고효준,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
박진형,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
손승락,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
구승민,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
