이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
이대형,1.75,143,654,600,89,192,14,3,1,215,42,37,20,44,2,0,90,6,7,1,0.32,0.368,0.358,0.726,0.341,86.9,0.25,30000
이진영,1.66,115,424,371,49,123,23,1,10,178,72,2,5,45,3,1,44,13,0,5,0.332,0.403,0.48,0.883,0.4,125.2,1.63,40000
전민수,0.7,74,240,213,31,65,14,1,3,90,29,5,2,19,4,0,46,4,4,0,0.305,0.373,0.423,0.795,0.361,100.2,0.8,5000
정주후,0.04,12,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-133.8,0.19,2900
김성욱,0.19,125,204,182,32,47,8,1,3,66,26,3,3,17,4,0,52,4,0,1,0.258,0.333,0.363,0.696,0.322,83.7,-0.59,5500
김종호,1.84,133,486,424,90,125,16,7,4,167,36,41,10,44,4,0,65,11,10,3,0.295,0.364,0.394,0.758,0.342,97.8,0.7,17500
김준완,0.03,30,54,44,12,10,0,0,0,10,2,2,1,10,0,0,10,1,0,0,0.227,0.37,0.227,0.598,0.309,74.2,-0.19,3000
김태군,0.31,144,474,421,45,107,24,0,6,149,52,1,1,25,10,0,77,12,11,7,0.254,0.307,0.354,0.661,0.295,64.8,-1.5,21000
나성범,5.14,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,0.326,0.373,0.553,0.926,0.4,136.1,2.61,30000
모창민,0.81,103,239,214,23,62,14,0,6,94,35,5,0,18,0,0,52,5,4,3,0.29,0.34,0.439,0.78,0.342,96.3,-1.21,12500
박민우,4.42,141,617,520,111,158,31,6,3,210,47,46,16,73,14,0,108,4,3,7,0.304,0.399,0.404,0.803,0.371,116.8,1.48,19000
박정준,0.22,19,24,21,2,8,2,0,0,10,2,0,0,0,3,0,5,0,0,0,0.381,0.458,0.476,0.935,0.435,158,-0.16,5300
손시헌,1.2,140,508,440,56,108,24,2,13,175,58,3,2,36,14,0,66,16,13,5,0.245,0.319,0.398,0.717,0.315,78.6,0.23,40000
용덕한,0.28,50,49,42,4,12,1,0,0,13,5,2,1,5,1,0,8,2,1,0,0.286,0.375,0.31,0.685,0.326,85.8,0.06,8500
